Year,Month,Lydd,Newquay,Portland,Prestwick,Stornoway,Total
2017,April,8,21,11,22,13,75
2017,May,17,28,8,30,18,101
2017,June,24,42,12,27,15,120
2017,Apr to Jun total,49,91,31,79,46,296
2017,July,26,55,NA,45,20,146
2017,August,23,44,NA,41,24,132
2017,September,12,35,NA,39,8,94
2017,Jul to Sep total,61,134,NA,125,52,372
2017,October,14,35,NA,32,12,93
2017,November,19,14,NA,20,6,59
2017,December,11,13,NA,23,4,51
2017,Oct to Dec total,44,62,NA,75,22,203
2018,January,10,19,NA,31,7,67
2018,February,11,22,NA,23,11,67
2018,March,14,31,NA,28,7,80
2018,Jan to Mar total,35,72,NA,82,25,214
